protocol,carrier,num_tcp_conn,server_location,run_num,seq_num,throughput_mbps
0,1,8,0,69,37,0.45282875484336693
0,1,8,0,69,38,0.47318106025382445
0,1,8,0,69,39,0.43755693578880933
0,1,8,0,69,40,0.4375714367094935
0,1,8,0,69,41,0.4680939846824201
0,1,8,0,69,42,0.4833497369413548
0,1,8,0,69,43,0.4731834293839631
0,1,8,0,69,44,0.3866786832731137
0,1,8,0,69,45,0.4273880200812117
0,1,8,0,69,46,0.45281785087471743
0,1,8,0,69,47,0.4681080470218269
0,1,8,0,69,48,0.42740004425707195
0,1,8,0,69,49,0.3714213382423122
0,1,8,0,69,50,0.05083860627568772
0,1,8,0,69,51,0.05601324488653519
0,1,8,0,69,52,0.005087047839167386
0,1,8,0,69,53,0.04070985218324461
0,1,8,0,69,54,0.02543984194913035
0,1,8,0,69,55,0.03561545605609825
0,1,8,0,69,56,0.04070012765096534
0,1,8,0,69,57,0.04579739336214964
0,1,8,0,69,58,0.03052610001144971
0,1,8,0,69,59,0.02034916635571901
0,1,8,0,70,0,0.019874636494898
0,1,8,0,70,1,0.03452727151905681
0,1,8,0,70,2,0.04047622282622286
0,1,8,0,70,3,0.046040000984666866
0,1,8,0,70,4,0.05032618906411298
0,1,8,0,70,5,0.057520575349770425
0,1,8,0,70,6,0.0609579898196459
0,1,8,0,70,7,0.06738855319898882
0,1,8,0,70,8,0.06499746249157173
0,1,8,0,70,9,0.08196353601954136
0,1,8,0,70,10,0.10777376334073938
0,1,8,0,70,11,0.13429904531785572
0,1,8,0,70,12,0.1689497993725159
0,1,8,0,70,13,0.1687081372046449
0,1,8,0,70,14,0.18304358262941223
0,1,8,0,70,15,0.17953463012135246
0,1,8,0,70,16,0.19850585942062074
0,1,8,0,70,17,0.24941278549445148
0,1,8,0,70,18,0.26993005628677463
0,1,8,0,70,19,0.26467607046371466
0,1,8,0,70,20,0.2785960945581131
0,1,8,0,70,21,0.2905238284422995
0,1,8,0,70,22,0.2937325116293643
0,1,8,0,70,23,0.2875031261344444
0,1,8,0,70,24,0.2945762769435405
0,1,8,0,70,25,0.2743013919114314
0,1,8,0,70,26,0.2644221810668673
0,1,8,0,70,27,0.29474971484894824
0,1,8,0,70,28,0.23883488039380132
0,1,8,0,70,29,0.2849583838659014
0,1,8,0,70,30,0.2895805669902866
0,1,8,0,70,31,0.27472106429783466
0,1,8,0,70,32,0.29980857682639156
0,1,8,0,70,33,0.2846470890084319
0,1,8,0,70,34,0.27962824272813835
0,1,8,0,70,35,0.26937561995296017
0,1,8,0,70,36,0.3050799346140597
0,1,8,0,70,37,0.26925892549823455
0,1,8,0,70,38,0.29488706996508707
0,1,8,0,70,39,0.2895516399798461
