protocol,num_tcp_conn,seq_num,anonymized_mCid,radio_type,throughput_mbps,nrStatus,primitive_handoff_type
0,8,368,10,1,0.8574423480083858,0,3
0,8,369,10,1,0.889937106918239,0,3
0,8,370,10,1,0.8679245283018868,0,3
0,8,371,10,1,0.879454926624738,0,3
0,8,372,10,1,0.8574423480083858,0,3
0,8,373,10,1,0.889937106918239,0,3
0,8,374,10,1,0.8574423480083858,0,3
0,8,375,10,1,0.879454926624738,0,3
0,8,376,10,1,0.9014675052410902,0,3
0,8,377,10,1,0.8459119496855346,0,3
0,8,378,10,1,0.8354297693920336,0,3
0,8,379,10,1,0.879454926624738,0,3
0,8,380,10,1,0.879454926624738,0,3
0,8,381,10,1,0.8459119496855346,0,3
0,8,382,10,1,0.8679245283018868,0,3
0,8,383,10,1,0.8018867924528302,0,3
0,8,384,10,1,0.9014675052410902,0,3
0,8,385,10,1,0.8574423480083858,0,3
0,8,386,10,1,0.8354297693920336,0,3
0,8,387,10,1,0.9234800838574424,0,3
0,8,388,10,1,0.8134171907756814,0,3
0,8,389,10,1,0.6048218029350105,0,3
0,8,390,10,1,0.39622641509433965,0,3
0,8,391,10,1,0.43920335429769397,0,3
0,8,392,10,1,0.24213836477987422,0,3
0,8,393,10,1,0.30817610062893086,0,3
0,8,394,10,1,0.24213836477987422,0,3
0,8,395,10,1,0.4287211740041929,0,3
0,8,396,10,1,0.2641509433962264,0,3
0,8,397,10,0,0.2746331236897275,1,0
0,8,398,10,1,0.0549266247379455,0,1
0,8,399,10,1,0.16457023060796647,0,3
0,8,400,10,1,0.0769392033542977,0,3
0,8,401,10,1,0.3616352201257862,0,3
0,8,402,10,1,0.3867924528301887,0,3
0,8,403,10,1,0.4727463312368973,0,3
0,8,404,10,1,0.549266247379455,0,3
0,8,405,10,1,0.5607966457023061,0,3
0,8,406,10,1,0.6268343815513627,0,3
0,8,407,10,1,0.6048218029350105,0,3
0,8,408,10,1,0.549266247379455,0,3
0,8,409,10,1,0.5712788259958071,0,3
0,8,410,10,1,0.6153039832285115,0,3
0,8,411,10,1,0.5712788259958071,0,3
0,8,412,10,1,0.4727463312368973,0,3
0,8,413,10,0,0.5932914046121593,1,0
0,8,414,3,0,0.6268343815513627,1,2
0,8,415,3,0,0.0769392033542977,1,3
0,8,416,3,1,0.1320754716981132,0,1
0,8,417,3,1,0.0549266247379455,0,3
0,8,418,3,1,0.07704402515723272,0,3
0,8,419,3,1,0.0659329140461216,0,3
0,8,420,3,1,0.08794549266247381,0,3
0,8,421,3,1,0.0769392033542977,0,3
0,8,422,3,1,0.24213836477987422,0,3
0,8,423,3,1,0.4287211740041929,0,3
0,8,424,3,1,0.4287211740041929,0,3
0,8,425,3,1,0.43920335429769397,0,3
0,8,426,3,1,0.46121593291404617,0,3
0,8,427,3,1,0.4507337526205451,0,3
0,8,428,3,1,0.3951781970649895,0,3
0,8,429,3,1,0.15408805031446543,0,3
0,8,430,3,0,0.0,1,0
0,8,431,3,0,0.022012578616352203,1,3
0,8,432,3,0,0.055031446540880505,1,3
0,8,433,3,0,0.16457023060796647,1,3
0,8,434,3,0,0.17610062893081763,1,3
0,8,435,3,0,0.16457023060796647,1,3
0,8,436,3,0,0.17610062893081763,1,3
0,8,437,3,0,0.19811320754716982,1,3
0,8,438,3,0,0.15408805031446543,1,3
0,8,439,3,0,0.17610062893081763,1,3
0,8,440,3,0,0.15408805031446543,1,3
0,8,441,3,0,0.15408805031446543,1,3
0,8,442,3,0,0.18658280922431866,1,3
0,8,443,3,0,0.17610062893081763,1,3
0,8,444,3,0,0.1320754716981132,1,3
0,8,445,3,0,0.19811320754716982,1,3
0,8,446,3,0,0.17610062893081763,1,3
0,8,447,3,0,0.14255765199161427,1,3
0,8,448,3,0,0.19811320754716982,1,3
0,8,449,3,0,0.16457023060796647,1,3
0,8,450,3,0,0.16457023060796647,1,3
0,8,451,3,0,0.18658280922431866,1,3
0,8,452,3,0,0.18658280922431866,1,3
0,8,453,3,0,0.17610062893081763,1,3
0,8,454,3,0,0.18658280922431866,1,3
0,8,455,3,0,0.18658280922431866,1,3
0,8,456,3,0,0.16457023060796647,1,3
0,8,457,3,0,0.17610062893081763,1,3
0,8,458,3,0,0.17610062893081763,1,3
0,8,459,3,0,0.16457023060796647,1,3
0,8,460,3,0,0.16561844863731656,1,3
0,8,461,3,0,0.17610062893081763,1,3
0,8,462,3,0,0.18658280922431866,1,3
0,8,463,3,0,0.17610062893081763,1,3
0,8,464,3,0,0.17610062893081763,1,3
0,8,465,3,0,0.17610062893081763,1,3
0,8,466,3,0,0.17610062893081763,1,3
0,8,467,3,0,0.18658280922431866,1,3
0,8,468,3,0,0.14255765199161427,1,3
0,8,469,3,0,0.23060796645702308,1,3
0,8,470,3,0,0.16457023060796647,1,3
0,8,471,3,0,0.15408805031446543,1,3
0,8,472,3,0,0.17610062893081763,1,3
0,8,473,3,0,0.17610062893081763,1,3
0,8,474,3,0,0.16457023060796647,1,3
0,8,475,3,0,0.19811320754716982,1,3
0,8,476,3,0,0.12054507337526206,1,3
0,8,477,3,0,0.20859538784067086,1,3
0,8,478,3,0,0.16457023060796647,1,3
0,8,479,3,0,0.15408805031446543,1,3
0,8,480,3,0,0.17610062893081763,1,3
0,8,481,3,0,0.15408805031446543,1,3
0,8,482,3,0,0.14255765199161427,1,3
0,8,483,3,0,0.17610062893081763,1,3
0,8,484,3,0,0.15408805031446543,1,3
0,8,485,3,0,0.14255765199161427,1,3
0,8,486,3,0,0.16457023060796647,1,3
0,8,487,3,0,0.16457023060796647,1,3
0,8,488,3,0,0.16457023060796647,1,3
0,8,489,3,0,0.17610062893081763,1,3
0,8,490,3,0,0.16457023060796647,1,3
0,8,491,3,0,0.17610062893081763,1,3
0,8,492,3,0,0.15408805031446543,1,3
0,8,493,3,0,0.14255765199161427,1,3
0,8,494,3,0,0.17610062893081763,1,3
0,8,495,3,0,0.16457023060796647,1,3
0,8,496,3,0,0.16457023060796647,1,3
0,8,497,3,0,0.14255765199161427,1,3
0,8,498,3,0,0.20859538784067086,1,3
0,8,499,3,0,0.14255765199161427,1,3
0,8,500,3,0,0.16457023060796647,1,3
0,8,501,3,0,0.1320754716981132,1,3
0,8,502,3,0,0.17610062893081763,1,3
0,8,503,3,0,0.16457023060796647,1,3
0,8,504,3,0,0.16457023060796647,1,3
0,8,505,3,0,0.16457023060796647,1,3
0,8,506,3,0,0.17610062893081763,1,3
0,8,507,3,0,0.16457023060796647,1,3
0,8,508,3,0,0.18658280922431866,1,3
0,8,509,3,0,0.16457023060796647,1,3
0,8,510,3,0,0.15408805031446543,1,3
0,8,511,3,0,0.16457023060796647,1,3
0,8,512,3,0,0.1320754716981132,1,3
0,8,513,3,0,0.16457023060796647,1,3
0,8,514,3,0,0.17610062893081763,1,3
0,8,515,3,0,0.15408805031446543,1,3
0,8,516,3,0,0.15408805031446543,1,3
0,8,517,3,0,0.17610062893081763,1,3
0,8,518,3,0,0.14255765199161427,1,3
0,8,519,3,0,0.14255765199161427,1,3
0,8,520,3,0,0.15408805031446543,1,3
0,8,521,3,0,0.1320754716981132,1,3
0,8,522,3,0,0.17610062893081763,1,3
0,8,523,3,0,0.16457023060796647,1,3
0,8,524,3,0,0.17610062893081763,1,3
0,8,525,3,0,0.14255765199161427,1,3
0,8,526,3,0,0.16457023060796647,1,3
0,8,527,3,0,0.15408805031446543,1,3
0,8,528,3,0,0.19811320754716982,1,3
0,8,529,3,0,0.15408805031446543,1,3
0,8,530,3,0,0.16457023060796647,1,3
0,8,531,3,0,0.1320754716981132,1,3
0,8,532,3,0,0.16457023060796647,1,3
0,8,533,3,0,0.16457023060796647,1,3
0,8,534,3,0,0.14255765199161427,1,3
0,8,535,3,0,0.19811320754716982,1,3
0,8,536,3,0,0.14255765199161427,1,3
0,8,537,3,0,0.14255765199161427,1,3
0,8,538,3,0,0.15408805031446543,1,3
